,,,,　日本全国沿岸水温の記録（第23号）,,,,,,,,,,
兵庫4（明石海峡3号灯浮標）,,,,　　　　　平成28年(2016)水温観測結果,,,,,,,,,,
,,,　　　　表面水温（流速計内蔵の水温センサー）毎時水温の平均値：日平均値,,,,,,,,,単位：℃,,
,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,,
１日, ,11.0 , ,11.9 ,15.3 ,18.8 ,22.0 ,24.9 ,25.8 ,25.2 ,22.5 , ,,
２日, ,10.9 , ,12.2 ,15.5 ,18.8 ,21.8 ,24.9 ,25.8 ,25.4 ,22.3 , ,,
３日, ,10.6 , ,12.3 ,15.6 ,19.0 ,22.2 ,25.0 ,25.9 ,25.4 ,22.2 , ,,
４日, ,10.6 , ,12.4 ,15.6 ,19.0 ,22.6 ,25.1 ,26.1 ,25.3 ,22.0 , ,,
５日, ,10.6 , ,12.5 ,15.6 ,19.0 ,22.8 ,25.1 ,25.9 ,25.2 ,21.9 , ,,
６日, ,10.6 , ,12.8 ,15.6 ,19.3 ,22.9 ,25.3 ,26.1 ,25.3 ,21.8 , ,,
７日,14.6 ,10.7 , ,12.8 ,15.8 ,19.2 ,23.0 ,25.4 ,26.2 ,25.2 ,21.6 , ,,
８日,14.4 ,10.7 , ,12.9 ,16.0 ,19.4 ,22.9 ,25.5 ,26.1 ,25.2 ,21.5 , ,,
９日,14.3 ,10.6 , ,13.1 ,15.9 ,19.5 ,23.5 ,25.6 ,26.1 ,25.2 ,21.2 , ,,
１０日,14.2 ,10.6 , ,13.2 ,16.1 ,19.8 ,23.5 ,25.8 ,26.1 ,25.0 ,21.0 , ,,
１１日,14.2 ,10.5 , ,13.2 ,16.2 ,20.0 ,23.3 ,25.8 ,26.2 ,24.7 ,20.9 , ,,
１２日,14.1 ,10.5 , ,13.3 ,16.4 ,20.0 ,23.2 ,25.8 ,26.1 ,24.5 ,20.6 , ,,
１３日,14.0 ,10.5 , ,13.3 ,16.6 ,20.2 ,23.3 ,25.9 ,26.0 ,24.3 ,20.6 , ,,
１４日,13.8 ,10.7 , ,13.5 ,16.9 ,20.2 ,23.7 ,25.9 ,25.9 ,24.1 ,20.5 , ,,
１５日,13.6 ,10.6 ,10.8 ,13.4 ,17.0 ,20.3 ,24.0 ,26.3 ,25.8 ,24.1 ,20.4 , ,,
１６日,13.4 ,10.5 ,10.9 ,13.6 ,17.0 ,20.4 ,23.9 ,26.2 ,25.8 ,24.1 ,20.2 , ,,
１７日,13.3 ,10.4 ,11.0 ,13.5 ,17.1 ,20.6 ,23.8 ,26.2 ,25.9 ,24.0 ,20.1 , ,,
１８日,13.2 ,10.2 ,11.0 ,13.5 ,17.4 ,20.7 ,24.0 ,26.2 ,25.9 ,24.1 ,20.0 , ,,
１９日,12.7 ,10.2 ,11.1 ,13.6 ,17.5 ,20.8 ,24.1 ,26.3 ,25.8 ,24.1 ,20.0 , ,,
２０日,12.4 ,10.3 ,11.1 ,13.8 ,17.6 ,21.1 ,24.1 ,26.2 ,25.6 ,24.1 ,19.9 , ,,
２１日,11.9 ,10.4 ,11.1 ,13.8 ,17.7 ,21.1 ,23.9 ,26.2 ,25.5 ,23.9 ,19.8 , ,,
２２日,11.8 ,10.4 ,11.2 ,14.0 ,18.2 ,21.1 ,23.9 ,26.3 ,25.1 ,23.8 ,19.8 , ,,
２３日,11.6 ,10.4 ,11.3 ,14.2 ,18.1 ,21.2 ,23.9 ,26.3 ,25.0 ,23.7 ,19.7 , ,,
２４日,11.5 ,10.5 ,11.3 ,14.3 ,18.1 ,21.6 ,23.8 ,26.2 ,25.0 ,23.5 ,19.5 , ,,
２５日,11.2 ,10.3 ,11.3 ,14.4 ,18.1 ,21.3 ,23.7 ,26.2 ,25.0 ,23.3 ,19.4 , ,,
２６日,11.2 ,10.4 ,11.3 ,14.8 ,18.2 ,21.4 ,23.7 ,26.3 ,25.3 ,23.2 ,19.2 , ,,
２７日,11.1 ,10.5 ,11.3 ,14.8 ,18.5 ,21.8 ,23.8 ,26.2 ,25.4 ,23.2 ,19.1 , ,,
２８日,11.1 ,10.6 ,11.4 ,15.3 ,18.8 ,21.9 ,24.1 ,25.9 ,25.4 ,23.1 ,18.9 , ,,
２９日,11.1 ,10.6 ,11.5 , ,18.7 ,21.7 ,24.4 ,25.7 ,25.4 ,22.9 ,18.6 , ,,
３０日,11.0 ,,11.7 , ,18.9 ,21.8 ,24.6 ,25.7 ,25.1 ,22.8 , , ,,
３１日,11.1 ,,11.7 ,,18.9 ,,24.8 ,25.7 ,,22.6 ,, ,,
