,,,,　日本全国沿岸水温の記録（第25号）,,,,,,,,
兵庫4（明石海峡3号灯浮標）,,,,　　　　　平成30年(2018)水温観測結果,,,,,,,,
,,,　　　　表面水温（流速計内蔵の水温センサー）毎時水温の平均値：日平均値,,,,,,,,,単位：℃
,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
１日,12.2 ,9.2 ,8.3 ,11.2 , , , , , , , , 
２日,12.0 ,9.3 ,8.3 ,11.5 , , , , , , , , 
３日,11.9 ,9.2 ,8.3 ,11.6 , , , , , , , , 
４日,11.8 ,9.2 ,8.4 ,11.7 , , , , , , , , 
５日,11.8 ,9.1 ,8.6 ,11.7 , , , , , , , , 
６日,11.8 ,8.7 ,8.7 ,11.8 , , , , , , , , 
７日,11.7 ,8.5 ,8.7 ,11.7 , , , , , , , , 
８日,11.4 ,8.3 ,8.8 ,11.6 , , , , , , , , 
９日,11.4 ,8.2 ,8.8 ,11.6 , , , , , , , , 
１０日,11.2 ,7.8 ,8.9 ,11.9 , , , , , , , , 
１１日,11.0 ,7.8 ,8.9 ,11.6 , , , , , , , , 
１２日,10.7 ,7.9 ,8.9 , , , , , , , , , 
１３日, ,7.8 ,9.1 , , , , , , , , , 
１４日, ,7.7 ,9.5 , , , , , , , , , 
１５日, ,7.6 ,9.6 , , , , , , , , , 
１６日, ,7.6 ,9.6 , , , , , , , , , 
１７日, ,7.7 ,9.7 , , , , , , , , , 
１８日, ,7.8 ,9.8 , , , , , , , , , 
１９日,11.8 ,7.8 ,9.9 , , , , , , , , , 
２０日,10.5 ,7.8 ,9.9 , , , , , , , , , 
２１日,10.5 ,7.8 ,10.0 , , , , , , , , , 
２２日,10.4 ,7.9 ,10.0 , , , , , , , , , 
２３日,10.3 ,7.9 ,10.2 , , , , , , , , , 
２４日,10.3 ,8.0 ,10.3 , , , , , , , , , 
２５日,10.0 ,8.0 ,10.3 , , , , , , , , , 
２６日,9.8 ,8.1 ,10.7 , , , , , , , , , 
２７日,9.7 ,8.1 ,10.8 , , , , , , , , , 
２８日,9.4 ,8.2 ,10.9 , , , , , , , , , 
２９日,9.4 ,,11.0 , , , , , , , , , 
３０日,9.3 ,,11.0 , , , , , , , , , 
３１日,9.2 ,,11.1 ,, ,, , ,, ,, 
,,,,,,,,,,,,
,,,,,,,,,,,,
