,,,,日本全国沿岸水温の記録（第28号）,,,,,,,,
兵庫4（明石海峡3号灯浮標）,,,,令和３年(2021)水温観測結果,,,,,,,,
,,,　　　　表面水温（流速計内蔵の水温センサー）毎時水温の平均値：日平均値,,,,,,,,,単位：℃
,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
１日,13.5,10.6,10.1,12.5,15.2,18.7,21.3,24.8,26.6,24.3,21.7,17.9
２日,13.3,10.6,10.2,12.8,15.0,18.8,21.5,25.1,25.8,24.3,21.6,17.6
３日,13.0,10.5,10.1,13.0,15.2,19.0,21.7,25.2,25.6,24.3,21.6,17.4
４日,12.9,10.3,10.2,13.0,15.3,19.1,21.7,25.6,25.6,24.3,21.5,17.3
５日,12.8,10.4,10.3,13.0,15.4,18.9,21.6,25.3,25.0,24.4,21.4,17.0
６日,12.8,10.5,10.3,13.0,15.9,19.0,22.1,25.6,24.6,24.4,21.3,16.9
７日,12.4,10.4,10.4,13.2,15.8,19.0,22.0,26.0,24.2,24.4,21.2,16.8
８日,12.0,10.4,10.4,13.3,15.8,19.3,23.4,26.2,24.0,24.5,21.1,16.8
９日,11.5,10.4,10.4,13.3,15.8,19.8,23.1,24.9,24.2,24.6,21.0,16.6
１０日,11.1,10.3,10.5,13.4,16.0,19.6,22.8,24.9,24.1,24.6,20.8,16.6
１１日,10.8,10.3,10.5,13.4,16.3,19.5,22.8,25.1,24.2,24.6,20.3,16.6
１２日,10.8,10.4,10.6,13.6,16.3,19.5,23.1,25.1,24.2,24.7,20.2,16.6
１３日,10.9,10.6,10.6,13.7,16.4,19.7,22.8,25.1,24.2,24.7,20.1,16.5
１４日,10.9,10.7,10.7,13.7,16.8,20.1,22.7,25.1,24.2,24.7,20.0,16.2
１５日,11.0,10.8,10.8,13.8,16.7,20.1,23.0,25.5,24.3,24.6,20.0,16.3
１６日,10.9,10.7,10.8,13.9,16.7,20.2,23.1,25.2,24.2,24.5,19.8,16.2
１７日,10.8,10.5,10.9,13.9,16.8,21.2,23.5,25.1,24.2,24.4,19.8,16.1
１８日,10.7,10.2,11.0,13.9,16.9,20.2,23.0,25.0,24.2,24.2,19.7,15.6
１９日,10.6,10.2,11.2,13.9,17.0,20.5,23.0,24.7,24.3,24.0,19.6,15.4
２０日,10.5,10.1,11.3,14.1,17.3,20.7,23.2,24.7,24.4,23.8,19.6,15.2
２１日,10.7,10.1,11.4,14.6,17.3,20.6,23.6,24.6,24.4,23.6,19.5,15.1
２２日,10.3,10.1,11.3,14.7,17.3,20.6,24.4,24.6,24.5,23.3,19.4,15.0
２３日,10.2,10.1,11.4,14.6,17.8,20.7,24.2,24.5,24.6,23.1,19.2,15.0
２４日,10.5,9.9,11.6,14.8,18.0,20.7,23.8,24.5,24.6,22.9,19.0,14.9
２５日,10.6,9.9,11.6,14.7,17.9,20.9,23.9,24.6,24.5,22.7,18.8,14.8
２６日,10.6,10.0,11.7,14.8,17.8,20.8,24.0,24.9,24.4,22.5,18.6,14.5
２７日,10.7,10.0,11.8,14.9,18.0,20.8,24.1,25.0,24.3,22.4,18.4,14.1
２８日,10.6,10.0,12.0,14.9,17.9,20.9,24.4,25.3,24.3,22.2,18.2,13.6
２９日,10.9,,12.2,14.9,18.0,21.2,24.4,25.3,24.4,22.0,18.2,13.5
３０日,10.7,,12.4,15.0,18.5,21.4,24.6,25.7,24.4,21.8,18.1,13.3
３１日,10.6,,12.4,,18.8,,24.9,27.2,,21.7,,13.1
