,,,,     日本全国沿岸水温の記録（第22号）,,,,,,,,
京都(栗田湾),,,,          平成29年(2017)水温観測結果,,,,,,,,
,,,,センター沖の水深12ｍからの取水を測温：日平均値,,,,,,,,単位：℃
,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
１日,14.3,11.3,11.2,12.2,15.7,19.8,22,27.7,28.1,24,20.3,16.4
２日,14.4,11.5,11.4,12.1,15.7,19.8,21.6,27.8,27.8,23.9,20.5,16.4
３日,14.4,11.5,11.5,12.3,15.9,19.9,22.6,27.9,27.5,23.8,20.4,16.3
４日,14.1,11.6,11.5,12.4,16.1,20.3,22.9,27.6,27.2,23.6,20.1,16.2
５日,14,11.8,11.7,12.7,16.3,20.2,23.3,27.5,27.1,23.4,19.6,16.2
６日,13.5,11.9,11.8,13,16.1,20.4,23.7,27.3,25.9,23.3,19.6,16
７日,13.4,11.6,11.5,13.4,16.1,20.1,24,26.9,25.4,23.4,19.8,15.7
８日,13.8,11.3,11.3,13.7,16.4,19.9,24.3,27.4,25.3,23.7,19.8,15.7
９日,13.8,11.3,11.4,13.5,16.7,19.5,24.2,27.5,26,23.7,19.7,15.5
１０日,13.7,11.3,11.5,13.4,16.8,20,24.2,27.4,25.9,23.8,19.2,15.1
１１日,13.3,10.9,11.5,13.3,16.8,20.1,24.5,27.3,25.9,23.8,19.1,15
１２日,13,10.6,11.5,13.3,17,20.2,24.3,27.3,25,23.5,19,14.3
１３日,12.7,10.4,11.7,13.3,16.9,20.3,24.9,27.6,24.6,23.1,18.8,14
１４日,12.1,10.5,11.9,13.6,17.2,20.4,25.8,27.5,25.4,23.1,18.8,14
１５日,11.7,10.8,11.5,13.9,17.4,20.4,25.9,27.2,25.7,22.9,18.8,14.2
１６日,11.7,11,11.3,14,17.4,20.5,26,27.1,25.5,22.4,18.4,14.2
１７日,11.8,11.5,11.3,14.1,17.7,21,26.5,27,25.2,22.4,18.1,13.8
１８日,11.8,11.6,11.4,14.2,17.9,21.1,26.8,26.4,25.1,22.4,17.9,13.6
１９日,12,11.3,11.6,14.1,18,21.2,27.1,25.8,24.9,22,17.5,13.7
２０日,11.9,11.3,11.9,14.1,18.2,21.2,27.5,26.3,24.7,21.9,17.1,13.7
２１日,11.8,11.2,11.8,14.3,18.3,21.1,27.5,27,24.6,21.9,17,13.6
２２日,11.8,11.2,11.8,14.4,18.3,21.2,27.5,26.5,24.5,21.7,16.8,13.7
２３日,11.6,11.4,11.6,14.5,18.3,21.5,27.3,26.7,24.4,20.9,16.7,13.7
２４日,11.2,11.3,11.7,14.9,18.4,21.9,27.3,27.2,24.4,20.9,16.5,13.9
２５日,11.2,11.2,11.7,15.1,18.5,21.7,27.3,27.5,24.4,21,16.4,13.5
２６日,11.5,11.3,11.8,15,18.6,21.9,27.1,27.7,24.5,21.1,16.4,13.2
２７日,11.8,11.2,11.8,14.9,18.5,22,27.5,28.2,24.4,21.1,16.5,12.9
２８日,12,11.2,11.9,15,18.8,22.1,27.5,28.3,24.1,21.1,16.7,12.7
２９日,12,,12,15.2,19.5,22.3,27.4,28.4,24.1,20.9,16.9,12.8
３０日,12.1,,12.2,15.5,19.7,22.2,27.8,28.3,24.1,20.5,16.8,12.9
３１日,11.8,,12.2,,,,27.7,28.2,,20.1,,12.9
