,,,,日本全国沿岸水温の記録（第27号）,,,,,,,,
京都(栗田湾),,,,令和２年(2020)水温観測結果,,,,,,,,
,,,,センター沖の水深12ｍからの取水を測温：日平均値,,,,,,,,単位：℃
,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
１日,14.5,12.4,12.0,12.9,14.7,,22.1,24.4,28.7,25.4,20.7,17.5
２日,14.3,12.2,11.9,12.8,14.9,,22.2,25.3,28.9,25.4,20.7,17.5
３日,14.3,12.4,12.1,12.8,14.8,19.1,22.6,25.8,27.9,25.3,20.5,17.4
４日,14.6,12.6,11.8,13.0,14.9,19.2,22.5,25.8,26.5,25.0,20.2,17.0
５日,14.4,12.4,12.1,13.0,15.2,19.6,22.6,25.8,27.7,24.7,20.0,16.8
６日,14.0,12.2,11.8,13.1,15.7,19.9,22.8,25.7,28.0,24.4,20.0,16.7
７日,14.0,11.9,11.6,13.2,16.1,20.6,23.0,25.4,27.9,24.1,20.1,16.7
８日,14.4,12.4,11.9,13.3,16.4,21.0,23.0,25.4,25.7,23.7,20.0,16.7
９日,14.4,12.2,11.8,13.3,16.0,20.7,23.0,26.0,26.3,23.5,19.8,16.5
１０日,14.2,11.7,12.1,13.3,15.8,20.0,23.2,26.2,26.5,23.5,19.4,16.6
１１日,14.0,12.0,12.1,13.4,15.5,19.6,23.1,25.8,26.3,23.6,19.3,16.6
１２日,14.2,11.8,12.0,13.5,16.0,19.4,23.0,26.3,26.1,23.7,19.2,16.0
１３日,13.9,12.7,12.2,13.3,16.3,19.9,23.2,26.8,26.4,23.8,19.3,16.3
１４日,13.7,12.5,12.4,13.3,16.7,20.6,23.4,27.1,26.2,23.6,19.3,15.9
１５日,13.8,12.6,12.0,13.5,16.9,20.8,23.3,27.5,26.5,23.4,19.0,15.4
１６日,13.6,12.7,12.0,13.6,16.6,21.2,23.4,27.8,26.6,23.2,19.2,15.1
１７日,13.8,12.5,11.7,13.9,16.5,21.9,23.6,28.1,26.5,23.0,19.2,14.0
１８日,13.4,12.0,12.3,14.1,16.7,22.0,23.7,28.5,26.3,22.8,19.4,14.6
１９日,13.1,12.0,12.5,14.0,17.0,21.8,23.8,28.5,26.2,22.7,19.6,14.5
２０日,13.1,12.2,12.7,14.0,17.0,21.8,23.9,28.6,26.2,22.6,19.7,14.4
２１日,13.0,12.3,12.6,14.0,17.1,22.0,24.0,28.4,26.1,22.4,19.3,14.4
２２日,12.9,12.4,12.7,13.9,17.1,22.0,23.7,28.1,26.1,22.4,18.9,14.3
２３日,13.3,12.5,12.7,13.7,17.3,21.9,23.8,28.2,26.1,22.2,18.7,14.8
２４日,13.5,12.3,12.6,13.6,17.6,22.2,23.9,28.0,26.0,21.8,18.5,14.8
２５日,12.9,12.3,12.4,13.8,17.6,22.1,23.7,27.9,26.0,21.6,18.3,15.1
２６日,12.8,12.3,12.6,14.0,17.5,21.6,23.3,27.9,25.9,21.6,18.2,15.1
２７日,12.8,11.9,12.9,14.0,17.9,21.8,23.3,27.9,25.7,21.5,18.1,14.5
２８日,12.9,11.9,,14.1,18.1,22.0,23.3,27.6,25.6,21.5,18.0,14.8
２９日,12.9,,,14.4,18.6,22.4,23.3,27.1,25.5,21.4,17.7,14.8
３０日,12.7,,,14.5,18.7,22.7,23.6,27.1,25.5,21.0,17.7,14.7
３１日,12.6,,,,18.9,,23.9,27.8,,20.7,,14.1
